I / *:   0.4	-20	3.504E+14	2.623E+12	98.67	696.5  
I / *:   0.4	-15	3.504E+14	3.52E+12	98.32	698.8  
I / *:   0.4	-10	3.504E+14	4.392E+12	97.96	686.2  
I / *:   0.4	-5	3.504E+14	5.234E+12	97.59	690.3  
I / *:   0.4	0	3.504E+14	5.796E+12	97.19	892.4  
I / *:   0.4	5	3.504E+14	6.466E+12	96.78	689.2  
I / *:   0.4	10	3.504E+14	7.21E+12	96.35	978.7  
I / *:   0.4	15	3.504E+14	8.34E+12	95.89	982.6  
I / *:   0.4	20	3.504E+14	9.767E+12	95.4	596.6  
I / *:   0.4	25	3.504E+14	1.169E+13	92.76	693.5  
I / *:   0.4	30	3.504E+14	1.369E+13	89.4	999.8  
I / *:   0.4	35	3.504E+14	1.679E+13	85.87	1193  
I / *:   0.4	40	3.504E+14	2.051E+13	82.19	1197  
I / *:   0.4	45	3.504E+14	2.475E+13	78.38	1197  
I / *:   0.4	50	3.504E+14	3.014E+13	74.93	1277  
I / *:   0.4	55	3.504E+14	3.518E+13	74.4	1379  
I / *:   0.4	60	3.504E+14	4.149E+13	73.84	1696  
I / *:   0.4	65	3.504E+14	4.911E+13	73.24	1748  
I / *:   0.4	70	3.504E+14	5.997E+13	72.6	2466  
I / *:   0.4	75	3.504E+14	7.753E+13	71.92	4336  
I / *:   0.4	80	3.504E+14	9.698E+13	71.2	2860  
I / *:   0.4	85	3.504E+14	1.103E+14	70.11	2917  
I / *:   0.4	90	3.504E+14	1.21E+14	67.69	5395  
I / *:   0.4	95	3.504E+14	1.318E+14	65.28	5495  
I / *:   0.4	100	3.504E+14	1.453E+14	62.89	5488  
I / *:   0.4	105	3.504E+14	1.594E+14	60.53	5462  
I / *:   0.4	110	3.504E+14	1.706E+14	58.22	5495  
I / *:   0.4	115	3.504E+14	1.791E+14	55.98	5286  
I / *:   0.4	120	3.504E+14	1.868E+14	53.8	5398  
I / *:   0.4	125	3.504E+14	1.947E+14	50.72	5046  
